year,month,date,created_at,category_code,bunrui_code,bunrui_name,date_bunrui_key,amount,memo
2023,6,15,2023/6/15,C,18,水道代,2023061518,0,
2023,6,15,2023/6/15,D,19,ガソリン・ETC,2023061519,7139,
2023,6,15,2023/6/15,D,20,車維持費,2023061520,3600,
2023,7,15,2023/7/15,A,01,みこ収入,2023071501,89865,
2023,7,15,2023/7/15,A,02,りさ収入,2023071502,63956,
2023,7,15,2023/7/15,A,03,臨時収入,2023071503,25000,
2023,7,15,2023/7/15,B,10,食費,2023071510,31427,
2023,7,15,2023/7/15,B,11,外食費,2023071511,24153,
2023,7,15,2023/7/15,E,12,日用品,2023071512,53152,
2023,7,15,2023/7/15,F,13,行楽費,2023071513,3200,
2023,7,15,2023/7/15,Z,99,その他,2023071599,1280,
2023,7,15,2023/7/15,C,14,電気代,2023071514,5367,
2023,7,15,2023/7/15,G,15,通信費,2023071515,4708,
2023,7,15,2023/7/15,C,16,ガス代,2023071516,6939,
2023,7,15,2023/7/15,G,17,家賃,2023071517,87440,
2023,7,15,2023/7/15,C,18,水道代,2023071518,3300,
2023,7,15,2023/7/15,D,19,ガソリン・ETC,2023071519,3396,
2023,7,15,2023/7/15,D,20,車維持費,2023071520,0,
2023,8,15,2023/8/15,A,01,みこ収入,2023081501,98080,
2023,8,15,2023/8/15,A,02,りさ収入,2023081502,58285,
2023,8,15,2023/8/15,A,03,臨時収入,2023081503,1025000,
2023,8,15,2023/8/15,B,10,食費,2023081510,33137,
2023,8,15,2023/8/15,B,11,外食費,2023081511,20907,
2023,8,15,2023/8/15,E,12,日用品,2023081512,26723,
2023,8,15,2023/8/15,F,13,行楽費,2023081513,1600,
2023,8,15,2023/8/15,Z,99,その他,2023081599,126960,結婚式前金100000円
2023,8,15,2023/8/15,C,14,電気代,2023081514,5898,
2023,8,15,2023/8/15,G,15,通信費,2023081515,4708,
2023,8,15,2023/8/15,C,16,ガス代,2023081516,5216,
2023,8,15,2023/8/15,G,17,家賃,2023081517,87440,
2023,8,15,2023/8/15,C,18,水道代,2023081518,0,
2023,8,15,2023/8/15,D,19,ガソリン・ETC,2023081519,3212,
2023,8,15,2023/8/15,D,20,車維持費,2023081520,0,
2023,9,15,2023/9/15,A,01,みこ収入,2023091501,-6860,
2023,9,15,2023/9/15,A,02,りさ収入,2023091502,68173,
2023,9,15,2023/9/15,A,03,臨時収入,2023091503,25000,
2023,9,15,2023/9/15,B,10,食費,2023091510,31727,
2023,9,15,2023/9/15,B,11,外食費,2023091511,10320,
2023,9,15,2023/9/15,E,12,日用品,2023091512,34608,
2023,9,15,2023/9/15,F,13,行楽費,2023091513,0,
2023,9,15,2023/9/15,Z,99,その他,2023091599,22660,
2023,9,15,2023/9/15,C,14,電気代,2023091514,10657,
2023,9,15,2023/9/15,G,15,通信費,2023091515,4708,
2023,9,15,2023/9/15,C,16,ガス代,2023091516,4323,
2023,9,15,2023/9/15,G,17,家賃,2023091517,87440,
2023,9,15,2023/9/15,C,18,水道代,2023091518,3234,
2023,9,15,2023/9/15,D,19,ガソリン・ETC,2023091519,4431,
2023,9,15,2023/9/15,D,20,車維持費,2023091520,0,
2023,10,15,2023/10/15,A,01,みこ収入,2023101501,203480,
2023,10,15,2023/10/15,A,02,りさ収入,2023101502,74670,
2023,10,15,2023/10/15,A,03,臨時収入,2023101503,25000,
2023,10,15,2023/10/15,B,10,食費,2023101510,36366,
2023,10,15,2023/10/15,B,11,外食費,2023101511,16814,
